Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,1440,4,
,,,2850,-1,
,,,120,2,
,,,290,-4,
,,,3650,0,
,,,2640,-4.5,
,,,290,-1,
,,,550,17.5,
,,,150,0,
,,,3750,-0.5,
,,,3760,-9,
,,,1070,-1.5,
,,,990,1.5,
,,,3000,1.5,
,,,210,1,
,,,1150,-2.5,
,,,7460,2,
,,,4500,-10,
,,,880,0,
,,,3830,-0.5,
,,,580,2.5,
,,,1820,-0.5,
,,,1870,-6,
,,,3590,-5,
,,,740,2.5,
,,,190,7,
,,,1630,-0.5,
,,,860,2.5,
,,,6400,-1.5,
,,,590,0,
,,,1360,-1,
,,,1030,-0.5,
,,,2210,1.5,
,,,1130,0,
,,,480,-9.5,
,,,11950,1,
,,,2720,-3.5,
,,,1100,0,
,,,570,-4,
,,,860,-0.5,
,,,1220,-2.5,
,,,1870,2.5,
,,,4300,1.5,
,,,1730,-1.5,
,,,3400,-2.5,
,,,1670,-3.5,
,,,6310,-1,
,,,1900,-1,
,,,3370,0.5,
,,,1050,-3,
,,,2010,0.5,
,,,540,-4,
,,,1910,-0.5,
,,,750,1,
,,,2440,-3.5,
,,,120,-6,
,,,630,-4.5,
,,,1450,-97,
,,,17600,-2,
,,,2940,0,
,,,4920,1.5,
,,,3080,4.5,
,,,1300,-1.5,
,,,4840,-6.5,
,,,3380,5.5,
,,,370,0.5,
,,,240,-7,
,,,4090,-6.5,
,,,520,0.5,
,,,6180,-1,
,,,11900,-4.5,
,,,2780,2,
,,,900,-4,
,,,1150,-2.5,
,,,480,3,
,,,2210,4,
,,,1450,2.5,
,,,1940,-3,
,,,1450,1.5,
,,,300,-0.5,
,,,6120,0,
,,,13740,-1,
,,,3420,8.5,
,,,470,-3.5,
,,,2060,-3,
,,,2540,-2.5,
,,,1210,3.5,
,,,5680,1,
,,,6330,-3,
,,,1180,-3.5,
,,,370,-3,
,,,15240,2.5,
,,,2090,-2.5,
,,,1060,1.5,
,,,1030,-3,
,,,4430,-1,
,,,5240,-1.5,
,,,1580,1.5,
,,,1160,-3.5,
,,,910,1.5,
,,,3110,1.5,
,,,3470,-4.5,
,,,250,-4,
,,,1370,-3.5,
,,,1840,-4,
,,,1070,3,
,,,250,-2.5,
,,,2200,-1,
,,,3320,6,
,,,870,-2,
,,,6040,0.5,
,,,2070,3,
,,,1050,-2,
,,,5870,-1.5,
,,,5800,-1.5,
,,,5190,0,
,,,330,-1.5,
,,,970,-1.5,
,,,1030,-0.5,
,,,3310,-5,
,,,3480,-4,
,,,160,-0.5,
,,,2230,-2.5,
,,,5460,3,
,,,1510,-1.5,
,,,3000,-3,
,,,120,-1.5,
,,,1150,-4.5,
,,,1570,2,
,,,1400,0.5,
,,,280,-1.5,
,,,3340,4.5,
,,,670,0.5,
,,,3110,4,
,,,2490,0,
,,,1420,-2,
,,,1060,-4,
,,,920,2.5,
,,,720,0,
,,,15330,-2.5,
,,,3710,-8.5,
,,,250,0,
,,,1370,-9.5,
,,,4580,0,
,,,1990,1.5,
,,,260,-2.5,
,,,2340,-1.5,
,,,3620,-0.5,
,,,2220,-5,
,,,840,-8,
,,,2750,-0.5,
,,,730,-2,
,,,5410,-5,
,,,1360,0,
,,,7240,0,
,,,250,-3,
,,,530,1.5,
,,,780,1.5,
,,,3890,-2.5,
,,,450,1,
,,,460,0.5,
,,,1100,-2,
,,,10950,1,
,,,670,-0.5,
,,,2980,-2,
,,,5220,-2,
,,,1780,-3,
,,,2340,0.5,
,,,370,-1,
,,,6710,-1.5,
,,,640,-4.5,
,,,2520,4,
,,,620,0,
,,,2490,-2.5,
,,,4070,-6,
,,,650,-2.5,
,,,860,6.5,
,,,3870,0.5,
,,,9280,5.5,
,,,3070,-4,
,,,220,-2,
,,,2670,-6,
,,,1580,-1,
,,,2850,2,
,,,1400,-0.5,
,,,5550,-4.5,
,,,3160,-3.5,
,,,6750,1,
,,,360,-5.5,
,,,1940,-7,
,,,2160,-1.5,
,,,5250,-0.5,
,,,3920,-2,
,,,1470,2,
,,,1550,2,
,,,4520,-0.5,
,,,1660,-4.5,
,,,2250,-3,
,,,190,-2.5,
,,,220,3,
,,,3780,2,
,,,490,-2,
,,,2420,-5.5,
,,,640,-1,
,,,1820,-2,
,,,6070,-6.5,
,,,2390,-2,
,,,1070,0,
,,,130,-4,
,,,1480,-1.5,
,,,2060,-1,
,,,2110,0,
,,,2920,-0.5,
,,,4710,-2,
,,,2030,-2.5,
,,,1760,-636.5,
,,,3230,-2,
,,,2000,3,
,,,5170,-1.5,
,,,1630,4,
,,,6880,-0.5,
,,,2240,-0.5,
,,,3150,0,
,,,7280,2,
,,,810,-1,
,,,1070,-2.5,
,,,820,-3,
,,,11760,-0.5,
,,,800,1,
,,,780,-2,
,,,590,-0.5,
,,,4240,-1.5,
,,,1930,-2.5,
,,,1390,-0.5,
,,,550,0,
,,,2670,-2,
,,,510,3,
,,,220,-1,
,,,1370,-1,
,,,550,0.5,
,,,4200,-1.5,
,,,2590,-9.5,
,,,4560,-3,
,,,310,-4.5,
,,,2320,1,
,,,2660,0.5,
,,,3530,1,
,,,1720,-2.5,
,,,360,2.5,
,,,110,-8,
,,,1600,-0.5,
,,,6190,-1.5,
,,,1450,-4.5,
,,,160,-1.5,
,,,1310,1,
,,,4850,-1,
,,,170,-4.5,
,,,1300,-2,
,,,13380,-3.5,
,,,1670,-9.5,
,,,1260,-1,
,,,610,4.5,
,,,780,0,
,,,1160,4.5,
,,,540,-0.5,
,,,1350,-3,
,,,380,-13.5,
,,,6150,1,
,,,1220,2,
,,,5720,-1.5,
,,,470,0,
,,,3300,0,
,,,770,-1.5,
,,,2980,-3.5,
,,,6970,-2,
,,,290,7.5,
,,,19880,-9.5,
,,,1840,2,
,,,1650,-0.5,
,,,940,4,
,,,1440,1.5,
,,,2950,-2.5,
,,,230,-1.5,
,,,2820,-7.5,
,,,650,0.5,
,,,740,-0.5,
,,,180,-2.5,
,,,1130,4,
,,,780,-4,
,,,510,-2,
,,,400,5.5,
,,,1390,0.5,
,,,3000,3.5,
,,,2440,-4.5,
,,,1000,-6.5,
,,,1620,0.5,
,,,1580,-4.5,
,,,5880,-2.5,
,,,730,2,
,,,2610,-1,
,,,2840,-0.5,
,,,3130,2,
,,,510,-2,
,,,9190,3.5,
,,,1280,-0.5,
,,,4120,-3.5,
,,,3200,-3.5,
,,,1510,-1.5,
,,,2090,3,
,,,500,-8.5,
,,,920,-2.5,
,,,1680,-0.5,
,,,120,2.5,
,,,1100,-3.5,
,,,830,-4.5,
,,,1340,-1,
,,,16000,0.5,
,,,1290,-1.5,
,,,560,-3,
,,,1380,-2,
,,,720,3.5,
,,,490,0,
,,,1130,-2,
,,,1320,-6,
,,,2250,-1.5,
,,,220,1.5,
,,,900,-3.5,
,,,230,0,
,,,3470,-4.5,
,,,110,2.5,
,,,15280,-0.5,
,,,210,2,
,,,530,-1.5,
,,,3250,-6,
,,,1690,3,
,,,1570,-5.5,
,,,4560,-7,
,,,3890,-1.5,
,,,1830,-2.5,
,,,1190,-4,
,,,2210,1,
,,,3160,5.5,
,,,3440,1,
,,,4660,-0.5,
,,,3550,-5,
,,,8750,-9,
,,,2420,-1,
,,,2290,-0.5,
,,,3750,-1.5,
,,,5290,-4,
,,,1280,-1.5,
,,,2370,-3.5,
,,,1940,4,
,,,2190,4,
,,,1660,0,
,,,500,-2,
,,,950,1.5,
,,,380,-4,
,,,280,-1,
,,,850,-0.5,
,,,2310,2.5,
,,,1190,2.5,
,,,10520,-1.5,
,,,2110,-4.5,
,,,1260,-5.5,
,,,1340,1.5,
,,,2140,0,
,,,4630,3.5,
,,,290,-1.5,
,,,2980,5,
,,,3150,-0.5,
,,,2960,-3,
,,,410,3,
,,,2270,0,
,,,12870,-0.5,
,,,2370,1.5,
,,,970,-3.5,
,,,11470,-3.5,
,,,360,-1.5,
,,,18630,-2,
,,,460,-5,
,,,720,-3,
,,,660,-2,
,,,4640,-0.5,
,,,570,-5.5,
,,,1620,-5,
,,,4210,-2,
,,,1320,-1,
,,,940,-4,
,,,7190,1,
,,,650,-7.5,
,,,590,-1,
,,,1060,2,
,,,240,-7,
,,,1970,-3,
,,,500,-6.5,
,,,1160,-4,
,,,2290,-12,
,,,13680,-2,
,,,710,-3.5,
,,,1690,-5,
,,,2760,1,
,,,9900,-5,
,,,1510,2.5,
,,,460,0,
,,,310,-5,
,,,4080,0,
,,,1670,0,
,,,1710,-1.5,
,,,2410,-1.5,
,,,900,0.5,
,,,2520,1,
,,,680,5.5,
,,,12650,-12,
,,,490,-1.5,
,,,6120,0,
,,,530,-9,
,,,4120,-6,
,,,1340,2,
,,,1960,0.5,
,,,18800,-2,
,,,16900,1.5,
,,,2710,-6,
,,,2100,6.5,
,,,1020,1,
,,,5640,-3,
,,,2250,4,
,,,520,-22.5,
,,,7630,0,
,,,1790,-4,
,,,5210,-3.5,
,,,3860,-2,
,,,1720,-2,
,,,1360,-0.5,
,,,680,-8.5,
,,,3040,-5,
,,,1810,-0.5,
,,,510,2.5,
,,,1080,0.5,
,,,3880,-3.5,
,,,220,-3,
,,,3140,2.5,
,,,1900,-1,
,,,5790,-1,
,,,510,3.5,
,,,2300,0.5,
,,,1520,-4,
,,,1410,-4,
,,,2690,1.5,
,,,5080,-2,
,,,930,-4.5,
,,,18210,-5,
,,,5900,2,
,,,1850,5.5,
,,,1070,0,
,,,410,-0.5,
,,,1130,-1.5,
,,,780,0,
,,,710,-2.5,
,,,1350,2,
,,,2740,4.5,
,,,4760,-1,
,,,1130,0,
,,,2930,-3,
,,,1110,-0.5,
,,,2000,-1.5,
,,,650,-4,
,,,2160,-4.5,
,,,2240,0,
,,,1440,-2.5,
,,,2330,0,
,,,1880,2,
,,,4940,0,
,,,1150,0,
,,,1460,-42,
,,,1940,-3.5,
,,,1570,2.5,
,,,1620,0,
,,,11780,3,
,,,530,-1,
,,,2500,-2.5,
,,,470,4.5,
,,,720,-2,
,,,2760,-1,
,,,120,-7.5,
,,,4450,0.5,
,,,3440,-3,
,,,3420,1.5,
,,,1950,3,
,,,1680,0,
,,,450,-1,
,,,5670,-0.5,
,,,710,-9,
,,,1580,-1.5,
,,,4270,2,
,,,640,-3,
,,,2990,-2.5,
,,,14520,0,
,,,2770,0,
,,,1260,-6,
,,,360,-3.5,
,,,480,1,
,,,720,-0.5,
,,,510,-7,
